,trip_distance
0,3.010401257924516
1,3.104603541989652
2,3.0362476677096697
3,2.9950760295692835
4,3.0959690961237887
5,2.924347425604873
6,2.921857278022044
7,3.0685995365353875
8,3.0184130021729403
9,3.0400967467453857
10,3.0600498099891893
11,3.0586141103129143
12,3.1193173796111284
13,3.0683780259020152
14,3.1013796475820814
15,3.0586251996451854
16,3.064018364482731
17,2.8997622623699915
18,3.1572411322344585
19,3.058943590021822
20,3.0913017555228994
21,2.9238229373372633
22,3.032807069986329
23,2.968749783295913
24,3.107441788320333
25,2.8909166607398604
26,3.037435014066215
27,3.10138254227874
28,3.103842311489532
29,3.0297077349162937
30,2.9592257203666748
31,3.1984253120539767
32,2.934757722878239
33,3.0563212074983834
34,3.2339579139074868
35,3.2147296523568833
36,3.026426505856965
37,3.031709519857747
38,3.1447574266626295
39,3.031223296727332
40,3.1342699117606108
41,3.0073903809384186
42,2.9180250169862294
43,3.0453823895049505
44,3.1171560878227513
45,3.0922062904307546
46,3.006755277134664
47,3.228581938704316
48,3.01212352821874
49,3.0551921384235547
50,3.166596918862418
51,2.964492342978788
52,3.025632964448624
53,2.8761623042425146
54,3.0765479490019425
55,3.011607617729945
56,3.063201694549996
57,2.9837332786959156
58,3.166443377924815
59,2.8723615708597485
60,2.9293614416427007
61,3.045210394355048
62,2.933221863797767
63,2.9653137458082193
64,2.964630024687596
65,2.984290133372818
66,3.0286791841737233
67,2.892110473788207
68,2.918143252751461
69,2.97441644434255
70,2.9071659872103432
71,3.1784347524295846
72,3.0679503156757906
73,3.0825040700855832
74,3.060896239462036
75,3.1045044009692893
76,3.021670045629553
77,3.0679963896228686
78,2.91458768581763
79,3.0678513056886585
80,2.9084595962824853
81,3.0794118006748277
82,2.9218032649934127
83,2.910524217547664
84,3.160376208778707
85,3.1260260612433735
86,3.1227005641076033
87,2.8509316731071874
88,24.695586453036867
89,24.98140512880948
90,24.805644157648718
91,24.93145045856201
92,24.99233580481874
93,5.207381374680316
94,5.298990068577578
95,5.367852937830803
96,5.280782214425142
97,5.237755556264633
98,3.904105044438213
99,3.9725038005546636
100,4.120574829501207
101,1.8692081354174905
102,2.0219929947930684
103,1.9432156693346947
104,2.0627079320133825
105,2.048631720828247
106,2.014165689651086
107,1.9122551910519268
108,1.876796140297641
109,2.0569821636837777
110,2.040671934323163
111,1.9620708765138788
112,1.962044039361627
113,1.8904082896421177
114,2.1274790932234686
115,1.9467464920487947
116,2.060774267601265
117,11.184539177833184
118,11.131002089404673
119,11.294073628343204
120,11.087473640973812
121,11.124473886778846
122,11.234237091858564
123,11.249227127931157
124,11.215075919107708
125,11.059905168048855
126,11.25492284192766
127,11.333569684518999
128,11.166442656661784
129,11.123567451519447
130,11.363088917646309
131,11.206669711771825
132,11.317512983675373
133,11.178706965168436
134,11.07722159837194
135,11.228789090374576
136,11.20411926577176
137,11.131864097904002
138,11.353194530577792
139,11.165392133085435
140,11.026569727903881
141,11.306094644340469
142,11.187627713979282
143,11.155604884679073
144,11.241480755546462
145,11.107264422475739
146,11.237495785861434
147,11.179185846086467
148,11.253343498371125
149,11.22528182484663
150,11.157477206557706
151,11.095745902981808
152,11.15963802083065
153,11.342850935174093
154,11.316926759574693
155,11.201866051223327
156,11.084341151744963
157,11.345042963837809
158,11.409820641285036
159,11.254239302934264
160,11.155114090360177
161,11.246742691227656
162,11.148929025876217
163,11.121733595345342
164,11.3829512496193
165,11.187768129707498
166,11.152826124314641
167,11.422326994216638
168,11.336526838429108
169,11.17599693573422
170,11.226160757546161
171,11.18549783728976
172,11.205305963635217
173,11.284421216356145
174,11.110135201563505
175,11.189616458905641
176,11.169264878151052
177,11.060934929752147
178,11.275538648588679
179,11.22372167091901
180,11.085752225178286
181,11.239101227403848
182,11.11889178569925
183,11.251127900497238
184,11.149012706447008
185,11.225406678341509
186,11.155013405182302
187,11.218419559985314
188,11.214396580878425
189,11.293841048881658
190,11.399121234811144
191,11.049815702978941
192,11.276526239674823
193,11.220588038718127
194,11.206558062083722
195,11.059735278080828
196,11.15771345032517
197,11.240666292323128
198,5.800817317751816
199,5.581172422267839
200,5.699620212717392
201,11.077771668699443
202,11.243079962133613
203,11.264192335079105
204,11.327092688064226
205,14.155300264127423
206,14.279705484944946
207,14.24489605365574
208,14.290689161004584
209,14.382079698877558
210,14.333669371725746
211,14.397815197902885
212,14.306782979777777
213,14.236293684646288
214,14.306942187963621
215,14.130564020144208
216,14.298911551983766
217,14.232804502714568
218,14.14946637205161
219,14.319591362940345
220,12.03591896091236
221,12.076716511905738
228,14.25639665222159
229,14.223871261024161
230,14.198615773907228
231,14.256878821544916
232,3.659514238882655
233,3.9345180637805495
234,3.6587847756868084
235,3.7973844336980327
236,3.737893947851452
237,3.80301588234928
238,3.733059028122518
239,3.6799929251659527
240,3.480145108034413
241,3.3155512518065136
242,3.47979713443206
243,3.5038886556236393
244,3.3365313811141752
245,3.4440246898522062
246,3.420897237296059
247,3.4677743872980873
248,3.4470887518776347
249,3.4421070314485185
250,3.2501906764374215
251,3.421925231684925
252,3.4632080352931895
253,3.4431895636312793
254,3.3771940564696417
255,3.5959113896475667
256,3.5072064278523047
257,3.421826875210991
258,3.353864332336835
259,3.4031035451936194
260,3.5539989133346848
261,3.443514917502715
262,3.5404627281178054
263,3.3317781678211
264,5.894548419390813
265,6.044638979968548
266,5.843681122560874
267,5.847568995266244
268,5.827090975098787
269,5.9456925173550745
270,5.769682656884637
271,5.996115741024996
272,0.9215463013768971
273,0.7597434219404847
274,0.865457870243946
275,0.8274272679894242
276,0.6913843268709651
277,0.8389825392447153
278,1.0211200617864271
279,0.7145712498233535
280,0.7349369992004615
281,0.8317589427559849
282,0.9381238773948538
